collection_number,genus,species,collection_site,its_type,its_accesion,rbclx_cluster,rbclx_type,rbclx_accession,nifv_type,nifv_accession,rpoc_type,rpoc_accession,trnl_type,trnl_accession
HOB020708-0-9-8,Nephroma,bellum,Spahats Creek,2,KC437606,II,12,KC437843,7,KC438032,9,KC438145,14,KC438262
HOB020708-0-9-9,Nephroma,parile,Spahats Creek,1,KC437595,II,5,KC437844,8,KC438018,5,KC438132,12,KC438248
HOB020708-31-1-1,Peltigera,fuscopraetextata,Spahats Creek,5,FJ708903,VI,2,KC437722,,,,,,
HOB020708-31-1-2,Peltigera,malacea,Spahats Creek,3,FJ708872,III,22,KC437691,,,,,,
HOB020708-31-1-3,Peltigera,malacea,Spahats Creek,2,FJ708871,III,9,KC437690,,,,,,
HOB020708-31-1-4,Peltigera,malacea,Spahats Creek,1,FJ708859,III,22,KC437681,,,,,,
HOB020708-31-1-8,Peltigera,aphthosa,Spahats Creek,5,FJ708844,VI,2,KC437670,,,,,,
HOB020708-31-5-1,Peltigera,canina,Spahats Creek,1,FJ708873,VI,2,KC437692,,,,,,
HOB020708-31-5-2,Peltigera,canina,Spahats Creek,1,FJ708874,VI,2,KC437693,,,,,,
HOB020708-31-5-3,Peltigera,fuscopraetextata,Spahats Creek,1,FJ708892,VI,3,KC437711,,,,,,
HOB020708-31-5-4,Peltigera,malacea,Spahats Creek,1,FJ708860,III,9,KC437682,,,,,,
HOB020708-31-5-6,Peltigera,britannica,Spahats Creek,4,FJ708852,VI,10,KC437676,,,,,,
HOB020708-31-5-7,Peltigera,leucophlebia Clade I,Spahats Creek,2,FJ708972,VI,2,KC437783,,,,,,
HOB020708-31-5-8,Peltigera,leucophlebia Clade I,Spahats Creek,2,FJ708973,VI,2,KC437784,2,KC437990,,,,
HOB020708-31-9-10,Nephroma,parile,Spahats Creek,1,KC437600,II,5,KC437845,,,,,,
HOB020708-31-9-2,Peltigera,praetextata,Spahats Creek,1,FJ708904,VI,3,KC437723,,,,,,
HOB020708-31-9-5,Peltigera,leucophlebia Clade I,Spahats Creek,1,FJ708959,VI,10,KC437771,,,,,,
HOB020708-31-9-7,Peltigera,leucophlebia Clade I,Spahats Creek,1,FJ708960,VI,2,KC437772,,,,,,
HOB020708-35-1-2,Peltigera,malacea,Spahats Creek,1,FJ708861,III,9,KC437683,,,,,,
HOB020708-35-1-3,Peltigera,malacea,Spahats Creek,1,FJ708862,III,9,KC437684,,,,,,
HOB020708-35-1-4,Peltigera,malacea,Spahats Creek,1,FJ708863,III,9,KC437685,,,,,,
HOB020708-35-1-6,Peltigera,leucophlebia Clade III,Spahats Creek,13,FJ709007,VI,2,KC437811,2,KC437996,2,KC438115,11,KC438231
HOB020708-35-5-10,Peltigera,leucophlebia Clade III,Spahats Creek,13,FJ709008,VI,2,KC437812,3,KC438001,,,,
HOB020708-35-5-2,Peltigera,malacea,Spahats Creek,1,KC437626,III,22,KC437846,,,,,,
HOB020708-35-5-4,Peltigera,aphthosa,Spahats Creek,1,FJ708820,IV,19,KC437651,,,,,,
HOB020708-35-5-5,Peltigera,aphthosa,Spahats Creek,6,FJ708845,VI,2,KC437671,,,,,,
HOB020708-35-5-6,Peltigera,aphthosa,Spahats Creek,1,FJ708821,IV,19,KC437652,,,,,,
HOB020708-35-5-7,Peltigera,leucophlebia Clade III,Spahats Creek,13,FJ709009,VI,2,KC437813,,,,,,
HOB020708-35-5-8,Peltigera,leucophlebia Clade I,Spahats Creek,3,FJ708988,IV,19,KC437797,,,,,,
HOB020708-35-5-9,Peltigera,leucophlebia Clade III,Spahats Creek,13,FJ709010,VI,2,KC437814,3,KC438002,,,,
HOB020708-39-1-10,Peltigera,britannica,Spahats Creek,7,FJ708858,VI,2,KC437680,,,,,,
HOB020708-39-1-5,Peltigera,leucophlebia Clade III,Spahats Creek,13,FJ709011,VI,2,KC437815,12,KC438003,,,,
HOB020708-39-1-6,Peltigera,leucophlebia Clade III,Spahats Creek,13,FJ709012,VI,10,KC437816,,,,,,
HOB020708-39-1-7,Peltigera,britannica,Spahats Creek,2,FJ708848,VI,2,KC437673,,,,,,
HOB020708-39-1-9,Peltigera,aphthosa,Spahats Creek,4,FJ708842,VI,2,KC437669,,,,,,
HOB020708-39-5-2,Peltigera,canina,Spahats Creek,2,FJ708880,VI,6,KC437699,,,,,,
HOB020708-4-1-1,Peltigera,fuscopraetextata,Spahats Creek,2,FJ708898,VI,2,KC437717,2,KC437951,2,KC438071,11,KC438187
HOB020708-4-1-10,Nephroma,parile,Spahats Creek,1,KC437596,II,5,KC437847,8,KC438019,5,KC438133,12,KC438249
HOB020708-4-1-2,Peltigera,fuscopraetextata,Spahats Creek,2,FJ708899,VI,2,KC437718,2,KC437952,2,KC438072,11,KC438188
HOB020708-4-1-4,Peltigera,leucophlebia Clade I,Spahats Creek,1,FJ708962,VI,2,KC437773,1,KC437981,2,KC438101,11,KC438217
