duke_dna,abmi_id,year,site,site_year,envelope,quadrant,stratum,orig_id,tbas_id,peltigera_epa_likelihood,peltigera_top_blast_id,peltigera_blast_pi,peltigera_blast_query_cover,its_otu,peltigera_final_id,nostoc_top_blast_id,nostoc_blast_pi,nostoc_blast_query_cover,rbclx_otu,nostoc_final_id,notes,batch_48,,,,
P10426,244469,2010,151,151_2010,2602,SW,Upland,Peltigera malacea,Peltigera_malacea_5,"0.271496, 0.264043, 0.222665, 0.059583, 0.052992, 0.050724, 0.048746",P1160_peltigera_malacea,99.819,100,OTU150,Peltigera_malacea_3,P0747_P_britannica_753_1007_1008_1014_1339_737_1149_malacea,98.292,96,otu420,,,47,,,,
P6456,243135,2010,325,325_2010,4111,NW,Wetland,Peltigera neopolydactyla1appalachensis,Peltigera_neopolydactyla_1,"0.673014, 0.043004, 0.042637, 0.030833, 0.030833, 0.030606, 0.030180, 0.030056, 0.029919, 0.029859",P309_peltigera_neopolydactyla_1,99.84,100,OTU49,Peltigera_neopolydactyla_1,P2072_P_neorufescens2_CostaRica,89.898,96,otu253,VIIa,0,,,,,
P9198,240128,2010,353,353_2010,129A,NW,Wetland,Peltigera neopolydactyla,Peltigera_neopolydactyla_1,"0.662720, 0.043429, 0.043080, 0.031370, 0.031368, 0.031140, 0.030716, 0.030611, 0.030492, 0.030436",P845_peltigera_neopolydactyla_1,99.84,100,OTU56,Peltigera_neopolydactyla_1,P12532_Nephroma_sp_Malaysia_Kinabalu_1_C3_P1,93.443,99,otu263,aff_XIV,"new nostoc, get genome!!",,,,,
P7000,243240,2010,354,354_2010,3928,NE,Upland,Peltigera didactyla,0,0,0,0,0,0,,0,0,0,0,,,,,,,
P6457,241704,2010,354,354_2010,3931,SW,Upland,Peltigera didactyla,0,0,0,0,0,0,,0,0,0,0,,,,,,,
P6557,244719,2010,383,383_2010,978,NW,Log/Stump,Peltigera occidentalis,0,0,0,0,0,0,,0,0,0,0,,,,,,,
P6547,246254,2010,383,383_2010,990B,SW,Log/Stump,Peltigera neopolydactyla1appalachensis,Peltigera_neopolydactyla_1,"0.641965, 0.045660, 0.045385, 0.033661, 0.033649, 0.033432, 0.033289, 0.033249, 0.033201, 0.033095",P845_peltigera_neopolydactyla_1,99.468,100,OTU360,Peltigera_neopolydactyla_1,0,0,0,0,,0,,,,,
P9196,241755,2010,383,383_2010,1213B,SW,Upland,Peltigera cf. neopolydactyla,0,0,0,0,0,0,,0,0,0,0,,,,,,,
P9197,243315,2010,383,383_2010,1213B,SW,Upland,Peltigera scabrosa,Peltigera_scabrosa_2,"0.688702, 0.137983, 0.111884, 0.022641",P1540_peltigera_scabrosa_2,99.5,100,OTU152,Peltigera_scabrosa_2,P1534_P2062_P_aquatica_Chile,95.261,96,otu177,Xia,,,,,,
P8364,240258,2010,384,384_2010,2978,SE,Log/Stump,Peltigera extenuata,Peltigera_extenuata_1,0.99875,P2064_peltigera_extenuata_1,100,100,OTU135,Peltigera_extenuata_1,P12626_Peltigera_extenuata_Chile_Mocho_2_C1_P1,100,98,otu160,XXXIIIb,0,,,,,
P9207,249294,2010,384,384_2010,3043,SW,Rock,Peltigera,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,Duplicate P# with 250813. Sequence matched 250813,,,,,
P9207,250813,2010,384,384_2010,3043,SW,Rock,Peltigera cf. occidentalis,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Peltigera_occidentalis,#N/A,#N/A,#N/A,#N/A,,Duplicate P# with 249294. Sequence matched this record,,,,,
P10079,249300,2010,875,875_2010,1578B,NE,Log/Stump,Nephroma resupinatum,0,0,0,0,0,0,,0,0,0,0,,,40,,,,
P10541,246292,2010,875,875_2010,1578A,NE,Log/Stump,Peltigera ponojensis,Peltigera_praetextata,"0.159079, 0.135513, 0.073580, 0.068333, 0.065682, 0.057859, 0.057643, 0.057082, 0.035427, 0.035394, 0.034860",P0420_peltigera_praetextata,100,98,OTU5,Peltigera_praetextata,P2010_2011_2033_fibril_424_2007_2008_sp2_1598_austroam_1561_,99.88,93,otu140,,,49,,,,
P10544,247744,2010,875,875_2010,1578,NE,Log/Stump,Peltigera praetextata,Peltigera_praetextata,"0.159079, 0.135513, 0.073580, 0.068333, 0.065682, 0.057859, 0.057643, 0.057082, 0.035427, 0.035394, 0.034860",P0420_peltigera_praetextata,100,98,OTU5,Peltigera_praetextata,P2010_2011_2033_fibril_424_2007_2008_sp2_1598_austroam_1561_,99.88,93,otu140,,,49,,,,
P9663,250827,2010,875,875_2010,2231,NW,Log/Stump,Nephroma resupinatum,0,0,0,0,0,0,,P12621,98.047,94,otu370,,,31,,,,
P10081,241795,2010,875,875_2010,2205,NW,Tree/Other,Lobaria pulmonaria,Peltigera_ponojensis_monticola_8,"0.052724, 0.036344, 0.035335, 0.027094, 0.025452, 0.025352, 0.025231, 0.025007, 0.024989, 0.024963, 0.024963",P4036_peltigera_frippii,90.104,42,OTU23,,0,0,0,0,,,40,,,,
P10082,247754,2010,875,875_2010,2201,NW,Tree/Other,Nephroma parile,"Peltigera_extenuata_2,Peltigera_extenuata_1","0.030469, 0.030428, 0.030312, 0.028334, 0.014139, 0.011031, 0.011029, 0.010991, 0.010951, 0.010905, 0.010878",P2141_peltigera_ciamomea,90.506,43,OTU24,,0,0,0,0,,,40,,,,
P6555,250834,2010,875,875_2010,198C,SE,Log/Stump,Peltigera polydactylon,0,0,0,0,0,0,,0,0,0,0,,,,,,,
P10074,246302,2010,875,875_2010,2236,SE,Log/Stump,Lobaria pulmonaria,0,0,0,0,0,0,,0,0,0,0,,,40,,,,
P10073,241800,2010,875,875_2010,198E,SE,Log/Stump,Nephroma resupinatum,Peltigera_extenuata_2,"0.029316, 0.029316, 0.029314, 0.026910, 0.022872, 0.017983, 0.017926, 0.010904, 0.010272, 0.010270, 0.009708",P1035_peltigera_aphthosa,87.879,48,OTU22,,DQ185293_Nephroma_bellum_Austria,100,100,otu181,,,40,,,,
P10075,250833,2010,875,875_2010,2242,SE,Log/Stump,Nephroma resupinatum,Peltigera_extenuata_2,"0.029316, 0.029316, 0.029314, 0.026910, 0.022872, 0.017983, 0.017926, 0.010904, 0.010272, 0.010270, 0.009708",P1035_peltigera_aphthosa,87.879,48,OTU22,,P12621,98.041,96,otu183,,,40,,,,
P10537,247757,2010,875,875_2010,198,SE,Log/Stump,Peltigera elisabethae,Peltigera_elisabethae,"0.819424, 0.146709",P1534_peltigera_sp14,84,89,OTU101,Peltigera_elisabethae,P2010_2011_2033_fibril_424_2007_2008_sp2_1598_austroam_1561_,99.88,93,otu140,,,49,,,,
P10542,241801,2010,875,875_2010,198A,SE,Log/Stump,Peltigera praetextata,Peltigera_praetextata,"0.159079, 0.135513, 0.073580, 0.068333, 0.065682, 0.057859, 0.057643, 0.057082, 0.035427, 0.035394, 0.034860",P0420_peltigera_praetextata,100,98,OTU5,Peltigera_praetextata,P0420_P_praetextata_Serbia,99.878,96,otu39,,,49,,,,
P10543,244795,2010,875,875_2010,198D,SE,Log/Stump,Peltigera rufescens,Peltigera_praetextata,"0.159079, 0.135513, 0.073580, 0.068333, 0.065682, 0.057859, 0.057643, 0.057082, 0.035427, 0.035394, 0.034860",P0420_peltigera_praetextata,100,98,OTU5,Peltigera_praetextata,P0420_P_praetextata_Serbia,99.878,96,otu39,,,49,,,,
P10080,247760,2010,875,875_2010,2209,SE,Tree/Other,Nephroma resupinatum,0,0,0,0,0,0,,P12621,98.041,96,otu183,,,40,,,,
P10540,246308,2010,875,875_2010,2212,SE,Tree/Other,Peltigera elisabethae,Peltigera_elisabethae,"0.816600, 0.149752",P1534_peltigera_sp14,83.848,89,OTU151,Peltigera_elisabethae,P2010_2011_2033_fibril_424_2007_2008_sp2_1598_austroam_1561_,99.878,96,otu37,,,49,,,,
P10078,241810,2010,875,875_2010,2259,SW,Log/Stump,Lobaria pulmonaria,0,0,0,0,0,0,,0,0,0,0,,,40,,,,
P10077,250843,2010,875,875_2010,2260B,SW,Log/Stump,Nephroma bellum,0,0,0,0,0,0,,0,0,0,0,,,40,,,,
P10076,244806,2010,875,875_2010,2260C,SW,Log/Stump,Nephroma resupinatum,Peltigera_extenuata_2,"0.029316, 0.029316, 0.029314, 0.026910, 0.022872, 0.017983, 0.017926, 0.010904, 0.010272, 0.010270, 0.009708",P1035_peltigera_aphthosa,87.879,48,OTU22,,P12621,98.049,96,otu182,,,40,,,,
P10538,243362,2010,875,875_2010,2260,SW,Log/Stump,Peltigera elisabethae,0,0,0,0,0,0,,0,0,0,0,,,49,,,,
P10539,250844,2010,875,875_2010,2260A,SW,Log/Stump,Peltigera praetextata,Peltigera_praetextata,"0.159079, 0.135513, 0.073580, 0.068333, 0.065682, 0.057859, 0.057643, 0.057082, 0.035427, 0.035394, 0.034860",P0420_peltigera_praetextata,100,98,OTU5,Peltigera_praetextata,P2010_2011_2033_fibril_424_2007_2008_sp2_1598_austroam_1561_,99.88,93,otu140,,,49,,,,
P6321,243404,2010,877,877_2010,2423,NE,Log/Stump,Peltigera degenii 2,"Peltigera_degenii_2b,Peltigera_degenii_2a","0.299301, 0.261869, 0.228530, 0.124409, 0.063377",P2147_peltigera_degenii_2,100,100,OTU310,Peltigera_degenii_2,P1241pacificaH74I,100,96,otu322,XIII,,,,,,
P6528,243403,2010,877,877_2010,2423A,NE,Log/Stump,Peltigera canina 1,Peltigera_canina_1,"0.135064, 0.074880, 0.074773, 0.074719, 0.073993, 0.073859, 0.072951, 0.068014, 0.055900, 0.054543, 0.034249",HOB13_peltigera_canina_1,99.625,100,OTU236,Peltigera_canina_1,P1108_P_ponojensis_NorthAmerica,100,100,otu97,XXVII,0,,,,,
P11684,246352,2010,877,877_2010,2462,NE,Rock,Peltigera degenii,"Peltigera_degenii_2b,Peltigera_degenii_2a","0.299301, 0.261869, 0.228530, 0.124409, 0.063377",P2147_peltigera_degenii_2,100,100,OTU310,Peltigera_degenii_2,P1241pacificaH74I,100,96,otu322,,,73,,,,
P10230,250886,2010,877,877_2010,2073,NE,Tree/Other,Lobaria pulmonaria,0,0,0,0,0,0,,0,0,0,0,,,43,,,,
P10582,247826,2010,877,877_2010,2464,NE,Upland,Peltigera neopolydactyla,0,0,0,0,0,0,,0,0,0,0,,,50,,,,
P10583,247827,2010,877,877_2010,2464A,NE,Upland,Peltigera scabrosa,0,0,0,0,0,0,,0,0,0,0,,,50,,,,
P7003,240353,2010,877,877_2010,2439A,NW,Log/Stump,Peltigera degenii,0,0,0,0,0,0,,0,0,0,0,,,,,,,
P10577,250889,2010,877,877_2010,2442,NW,Log/Stump,Leptogium saturninum,Peltigera_nigripunctata,"0.087139, 0.016210, 0.015114, 0.013318, 0.012254, 0.012248, 0.011872, 0.011298, 0.011285, 0.011205, 0.009635",P783_peltigera_malacea,85.492,37,OTU171,,DQ185293_Nephroma_bellum_Austria,96.486,100,otu36,,,50,,,,
P10578,243410,2010,877,877_2010,2440,NW,Log/Stump,Nephroma resupinatum,Peltigera_extenuata_2,"0.029316, 0.029316, 0.029314, 0.026910, 0.022872, 0.017983, 0.017926, 0.010904, 0.010272, 0.010270, 0.009708",P1035_peltigera_aphthosa,87.879,48,OTU22,,0,0,0,0,,,50,,,,
P10579,240354,2010,877,877_2010,2439,NW,Log/Stump,Peltigera membranacea,0,0,0,0,0,0,,0,0,0,0,,,50,,,,
P6524,250894,2010,877,877_2010,2411,NW,Tree/Other,Peltigera praetextata 1,Peltigera_praetextata,"0.159079, 0.135513, 0.073580, 0.068333, 0.065682, 0.057859, 0.057643, 0.057082, 0.035427, 0.035394, 0.034860",P0420_peltigera_praetextata,100,98,OTU5,Peltigera_praetextata,P2047_P_andensis_Boliva_2054_friesiorum_Peru,99.777,96,otu242,XXXIX,0,,,,,
P11041,240361,2010,877,877_2010,2412,NW,Tree/Other,Lobaria pulmonaria,0,0,0,0,0,0,,0,0,0,0,,,60,,,,
P10581,249374,2010,877,877_2010,2413,NW,Tree/Other,Peltigera leucophlebia,0,0,0,0,0,0,,0,0,0,0,,,50,,,,
P6502,244887,2010,877,877_2010,2429,SE,Log/Stump,Peltigera cf. leucophlebia,Peltigera_leucophlebia_s_str,"0.909085, 0.014176, 0.014161, 0.013886",P6083_peltigera_leucophlebia,100,100,OTU16,Peltigera_leucophlebia_2,0,0,0,0,,0,,,,,
P11683,247843,2010,877,877_2010,2465,SE,Upland,Peltigera degenii,0,0,0,0,0,0,,0,0,0,0,,,73,,,,
P10580,240373,2010,877,877_2010,2454,SW,Log/Stump,Peltigera membranacea,0,0,0,0,0,0,,0,0,0,0,,,50,,,,
P6567,241889,2010,877,877_2010,2395,SW,Tree/Other,Peltigera membranacea,0,0,0,0,0,0,,0,0,0,0,,,,,,,
P10229,241887,2010,877,877_2010,2399,SW,Tree/Other,Leptogium saturninum,0,0,0,0,0,0,,0,0,0,0,,,43,,,,
P10584,249386,2010,877,877_2010,2394,SW,Tree/Other,Lobaria pulmonaria,Peltigera_britannica,"0.924997, 0.010856, 0.007467, 0.007042",P1078_peltigera_britaica,97.917,99,OTU172,,0,0,0,0,,sequence is a contaminant from Peltigera,50,,,,
P9662,247849,2010,877,877_2010,2398,SW,Tree/Other,Nephroma cf. bellum,0,0,0,0,0,0,,P12621,98.041,96,otu183,,,31,,,,
P10586,243428,2010,877,877_2010,2393,SW,Tree/Other,Nephroma resupinatum,Peltigera_extenuata_2,"0.029316, 0.029316, 0.029314, 0.026910, 0.022872, 0.017983, 0.017926, 0.010904, 0.010272, 0.010270, 0.009708",P1035_peltigera_aphthosa,87.879,48,OTU22,,0,0,0,0,,,50,,,,
P10585,246376,2010,877,877_2010,2393A,SW,Tree/Other,Nephroma resupinatum,Peltigera_extenuata_2,"0.029316, 0.029316, 0.029314, 0.026910, 0.022872, 0.017983, 0.017926, 0.010904, 0.010272, 0.010270, 0.009708",P1035_peltigera_aphthosa,87.879,48,OTU22,,0,0,0,0,,,50,,,,
P9180,246397,2010,892,892_2010,4727,SE,Upland,Peltigera malacea,Peltigera_malacea_5,"0.270880, 0.263547, 0.222943, 0.059701, 0.053191, 0.050912, 0.048945",P1160_peltigera_malacea,100,100,OTU153,Peltigera_malacea_3,P0747_P_britannica_753_1007_1008_1014_1339_737_1149_malacea,98.397,96,otu401,III,0,,,,,
P6302,240446,2010,908,908_2010,519,SW,Upland,Peltigera neocanina 1,Peltigera_neocanina_1,"0.545747, 0.162346, 0.133340, 0.132817",HOB27_peltigera_neocanina_1,99.823,100,OTU320,Peltigera_neocanina_1,P0420_P_praetextata_Serbia,99.878,96,otu39,V,,,,,,
P9194,249459,2010,909,909_2010,1419a,NE,Log/Stump,Peltigera neopolydactyla s.l.,0,0,0,0,0,0,,0,0,0,0,,,,,,,
P9195,250999,2010,909,909_2010,882,SW,Wetland,Peltigera neopolydactyla s.l.,0,0,0,0,0,0,,0,0,0,0,,,,,,,
P8708,241976,2010,910,910_2010,22261,NE,Wetland,Peltigera aphthosa,Peltigera_aphthosa_1,"0.933472, 0.007515, 0.006598, 0.006591",P734_peltigera_aphthosa,100,100,OTU47,Peltigera_aphthosa_5,0,0,0,0,,0,,,,,
P8709,249478,2010,910,910_2010,22262,NE,Wetland,Peltigera malacea,Peltigera_malacea_2,0.992208,P783_peltigera_malacea,100,100,OTU46,Peltigera_malacea_2,0,0,0,0,,0,,,,,
P8712,251007,2010,910,910_2010,1748,NE,Wetland,Peltigera neopolydactyla,Peltigera_neopolydactyla_1,"0.673014, 0.043004, 0.042637, 0.030833, 0.030833, 0.030606, 0.030180, 0.030056, 0.029919, 0.029859",P309_peltigera_neopolydactyla_1,99.84,100,OTU49,Peltigera_neopolydactyla_1,P2072_P_neorufescens2_CostaRica,89.888,96,otu285,VIIa,0,,,,,
P8721,246459,2010,910,910_2010,1715,NW,Log/Stump,Peltigera elisabethae,Peltigera_neopolydactyla_1,"0.673014, 0.043004, 0.042637, 0.030833, 0.030833, 0.030606, 0.030180, 0.030056, 0.029919, 0.029859",P309_peltigera_neopolydactyla_1,99.84,100,OTU49,Peltigera_neopolydactyla_1,P2072_P_neorufescens2_CostaRica,90.603,96,otu54,VIIa,0,,,,,
P8707,249490,2010,910,910_2010,22260,NW,Wetland,Peltigera malacea,Peltigera_malacea_2,0.992208,P783_peltigera_malacea,100,100,OTU46,Peltigera_malacea_2,P12567_Sticta_hypochroa_Chile_Mocho_1_C1_P1,95.829,92,otu313,IV,0,,,,,
P8714,249489,2010,910,910_2010,1742,NW,Wetland,Peltigera leucophlebia,Peltigera_leucophlebia_s_str,"0.900712, 0.015455, 0.015438, 0.015140, 0.015122",P6060_peltigera_leucophlebia,99.819,100,OTU50,Peltigera_leucophlebia_2,0,0,0,0,,0,,,,,
P8715,1357494,2010,910,910_2010,1742A,NW,Wetland,Peltigera aphthosa,Peltigera_aphthosa_1,"0.933472, 0.007515, 0.006598, 0.006591",P734_peltigera_aphthosa,100,100,OTU47,Peltigera_aphthosa_5,JL23_aphthosa_no_vnf,100,99,otu376,XXXIIIa,0,,,,,
P8716,243535,2010,910,910_2010,1741,NW,Wetland,Peltigera neopolydactyla,Peltigera_neopolydactyla_1,"0.662720, 0.043429, 0.043080, 0.031370, 0.031368, 0.031140, 0.030716, 0.030611, 0.030492, 0.030436",P845_peltigera_neopolydactyla_1,99.84,100,OTU56,Peltigera_neopolydactyla_1,P2072_P_neorufescens2_CostaRica,90.603,96,otu54,VIIa,0,,,,,
P8719,243536,2010,910,910_2010,1741A,NW,Wetland,Peltigera scabrosa,0,0,0,0,0,0,,0,0,0,0,,,,,,,
P8710,249496,2010,910,910_2010,22263,SE,Log/Stump,Peltigera leucophlebia,Peltigera_leucophlebia_s_str,0.999081,P6065_peltigera_leucophlebia,100,100,OTU66,Peltigera_leucophlebia_1,0,0,0,0,,0,,,,,
P8717,241993,2010,910,910_2010,1395,SE,Log/Stump,Peltigera aphthosa,Peltigera_aphthosa_1,"0.933472, 0.007515, 0.006598, 0.006591",P734_peltigera_aphthosa,100,100,OTU47,Peltigera_aphthosa_5,0,0,0,0,,0,,,,,
P8720,249495,2010,910,910_2010,1394,SE,Log/Stump,Peltigera canina,Peltigera_neocanina_1,"0.550656, 0.160014, 0.131894, 0.131396",P2098_peltigera_neocanina_1,97.891,100,OTU445,Peltigera_neocanina_1,P2012_2016_2018_fuscopraetextata_Argentina_2014_2017_Chile_2041_frigida_Chile_77_aubertii_Chile,99.268,96,otu398,VI,check mycobiont blast,,,,,
P8711,243548,2010,910,910_2010,1738,SE,Upland,Peltigera malacea,Peltigera_malacea_2,0.991434,P1364_peltigera_malacea,100,100,OTU111,Peltigera_malacea_2,NOS,95.535,95,otu399,aff_IV,0,,,,,
P8713,246478,2010,910,910_2010,1739,SE,Upland,Peltigera aphthosa,Peltigera_aphthosa_1,"0.933472, 0.007515, 0.006598, 0.006591",P734_peltigera_aphthosa,100,100,OTU47,Peltigera_aphthosa_5,0,0,0,0,,0,,,,,
P11853,242346,2010,1201,1201_2010,4449,NW,Rock,Stereocaulon sasakii,0,0,0,0,0,0,,0,0,0,0,,,77,,,,
P8718,247976,2010,910,910_2010,1370,SW,Log/Stump,Peltigera leucophlebia,Peltigera_leucophlebia_s_str,"0.893370, 0.016567, 0.016552, 0.016253, 0.016235",P6060_peltigera_leucophlebia,99.819,100,OTU444,Peltigera_leucophlebia_2,P12604_Peltigera_sp_Chile_Malalca_2_C1_P1,97.677,99,otu33,XXX,0,,,,,
P8722,242006,2010,910,910_2010,1371,SW,Log/Stump,Peltigera aphthosa,Peltigera_aphthosa_1,"0.933472, 0.007515, 0.006598, 0.006591",P734_peltigera_aphthosa,100,100,OTU47,Peltigera_aphthosa_5,0,0,0,0,,0,,,,,
P11854,242060,2010,943,943_2010,2056,NE,Upland,Stereocaulon tomentosum,0,0,0,0,0,0,,0,0,0,0,,,77,,,,
P9830,242024,2010,941,941_2010,135B,NE,Upland,Peltigera canina,Peltigera_leucophlebia_4,"0.028737, 0.022808, 0.016249, 0.013879, 0.012189, 0.011676, 0.011117, 0.011111, 0.011108, 0.011101, 0.011098",P4036_peltigera_frippii,87.261,39,OTU585,,P0420_P_praetextata_Serbia,99.878,96,otu18,,ITS sequence is a contaminant from other fungus,34,,,,
P9828,242025,2010,941,941_2010,2665,NE,Upland,Peltigera leucophlebia,Peltigera_leucophlebia_s_str,0.999081,P6065_peltigera_leucophlebia,100,100,OTU66,Peltigera_leucophlebia_1,P0014_P_canina_Iceland,99.878,96,otu336,,,34,,,,
P9823,245042,2010,941,941_2010,4595,NE,Upland,Peltigera malacea,Peltigera_malacea_2,0.992208,P783_peltigera_malacea,100,100,OTU46,Peltigera_malacea_2,P0735_P_malacea_Quebec,98.195,96,otu66,,,34,,,,
P9822,251055,2010,941,941_2010,135A,NE,Upland,Peltigera malacea,Peltigera_malacea_2,0.992208,P783_peltigera_malacea,100,100,OTU46,Peltigera_malacea_2,P0735_P_malacea_Quebec,98.195,96,otu66,,,34,,,,
P9826,245043,2010,941,941_2010,135,NE,Upland,Peltigera rufescens,0,0,0,0,0,0,,0,0,0,0,,,34,,,,
P9827,1454649,2010,941,941_2010,135,NE,Upland,Peltigera rufescens,Peltigera_neorufescens_5,"0.339473, 0.269299, 0.137820, 0.126964, 0.125034",P2086_peltigera_neorufescens_5,92.719,97,OTU128,Peltigera_aff_neorufescens,P1839_P_retifoveata_USA,99.648,96,otu133,,,34,,,,
P9829,246508,2010,941,941_2010,2672,NW,Upland,Peltigera canina,Peltigera_sp_18,"0.086778, 0.086679, 0.086676, 0.086510, 0.085585, 0.084489, 0.078526, 0.064022, 0.062437, 0.038576, 0.038331",P2081_peltigera_canina_2,99.814,100,OTU484,Peltigera_canina_2,P1839_P_retifoveata_USA,99.648,96,otu377,,,34,,,,
P9825,246509,2010,941,941_2010,2672A,NW,Upland,Peltigera rufescens,Peltigera_rufescens_1,"0.709420, 0.231373, 0.012541",P2083_peltigera_rufescens_1,95.085,100,OTU131,Peltigera_rufescens_1,P1839_P_retifoveata_USA,99.648,96,otu405,,,34,,,,
P9824,248002,2010,941,941_2010,2670,SE,Upland,Peltigera extenuata,0,0,0,0,0,0,,0,0,0,0,,,34,,,,
P8727,251093,2010,943,943_2010,2069,NE,Rock,Peltigera leucophlebia,Peltigera_leucophlebia_s_str,"0.909085, 0.014176, 0.014161, 0.013886",P6083_peltigera_leucophlebia,100,100,OTU16,Peltigera_leucophlebia_2,JL31_extenuata_vnf,99.417,99,otu378,XXXIIIa,0,,,,,
P8780,245080,2010,943,943_2010,2070,NE,Rock,Peltigera rufescens,Peltigera_rufescens_1,"0.709420, 0.231373, 0.012541",P2083_peltigera_rufescens_1,95.085,100,OTU131,Peltigera_rufescens_1,P1839_P_retifoveata_USA,99.648,96,otu377,XXXIIIa,0,,,,,
P8788,246543,2010,943,943_2010,2054,NE,Upland,Peltigera didactyla,0,0,0,0,0,0,,0,0,0,0,,,,,,,
P8725,240571,2010,943,943_2010,132C,NE,Upland,Peltigera canina,0,0,0,0,0,0,,P1839_P_retifoveata_USA,99.648,96,otu377,,,,,,,
P8777,246544,2010,943,943_2010,132,NE,Upland,Peltigera rufescens,Peltigera_rufescens_1,"0.706172, 0.234284, 0.012645",P2083_peltigera_rufescens_1,94.896,100,OTU110,Peltigera_rufescens_1,P1839_P_retifoveata_USA,99.648,96,otu377,XXXIIIa,0,,,,,
P8779,240572,2010,943,943_2010,132D,NE,Upland,Peltigera praetextata,0,0,0,0,0,0,,P1107_P_neocanina_NorthAmerica,98.361,96,otu227,,,,,,,
P11855,240588,2010,943,943_2010,2068,SW,Wetland,Stereocaulon tomentosum,0,0,0,0,0,0,,0,0,0,0,,,77,,,,
P8728,242068,2010,943,943_2010,2058,NW,Upland,Peltigera,Peltigera_rufescens_1,"0.502843, 0.365416, 0.027455, 0.026803, 0.025815, 0.025204",P2083_peltigera_rufescens_1,99.764,97,OTU14,Peltigera_rufescens_1,0,0,0,0,,0,,,,,
P8723,249572,2010,943,943_2010,22264,NW,Upland,Peltigera aphthosa,Peltigera_aphthosa_1,"0.933472, 0.007515, 0.006598, 0.006591",P734_peltigera_aphthosa,100,100,OTU47,Peltigera_aphthosa_5,0,0,0,0,,0,,,,,
P8726,243614,2010,943,943_2010,133C,NW,Upland,Peltigera ponojensis,Peltigera_praetextata,"0.159079, 0.135513, 0.073580, 0.068333, 0.065682, 0.057859, 0.057643, 0.057082, 0.035427, 0.035394, 0.034860",P0420_peltigera_praetextata,100,98,OTU5,Peltigera_praetextata,P0006_P_neocanina_Iceland,100,91,otu249,XLII,0,,,,,
P8781,249575,2010,943,943_2010,133B,NW,Upland,Peltigera rufescens,Peltigera_lepidophora_2,"0.758654, 0.050716, 0.050061, 0.047943, 0.045646",P2083_peltigera_rufescens_1,99.537,97,OTU25,Peltigera_rufescens_1,P2044_P_aubertii_Chile,98.794,88,otu49,XXVII,0,,,,,
P8784,249573,2010,943,943_2010,133,NW,Upland,Peltigera canina,Peltigera_canina_1,"0.132123, 0.076301, 0.075767, 0.075711, 0.075676, 0.074880, 0.074031, 0.068876, 0.056281, 0.054864, 0.033965",P2118_peltigera_canina_1,100,100,OTU100,Peltigera_canina_1,P0420_P_praetextata_Serbia,99.878,96,otu18,V,0,,,,,
P8785,242069,2010,943,943_2010,2060,NW,Upland,Peltigera neckeri,Peltigera_rufescens_1,"0.710809, 0.230121, 0.012496",P2083_peltigera_rufescens_1,95.085,100,OTU235,Peltigera_rufescens_1,P2044_P_aubertii_Chile,99.001,96,otu57,XXVII,0,,,,,
P8786,1586704,2010,943,943_2010,2060,NW,Upland,Peltigera neckeri,Peltigera_rufescens_1,"0.709420, 0.231373, 0.012541",P2083_peltigera_rufescens_1,95.085,100,OTU131,Peltigera_rufescens_1,P2044_P_aubertii_Chile,99.001,96,otu57,XXVII,0,,,,,
P8787,249574,2010,943,943_2010,133A,NW,Upland,Peltigera neckeri,"Peltigera_neckeri,Peltigera_polydactyloides","0.329768, 0.328815, 0.328770",P1534_peltigera_sp14,85.075,90,OTU3,Peltigera_neckeri,0,0,0,0,,0,,,,,
P8724,248045,2010,943,943_2010,22265,SE,Upland,Peltigera neckeri,"Peltigera_neckeri,Peltigera_polydactyloides","0.329768, 0.328815, 0.328770",P1534_peltigera_sp14,85.075,90,OTU3,Peltigera_neckeri,JL31_extenuata_vnf,98.837,99,otu72,XXX,0,,,,,
P8782,249585,2010,943,943_2010,2061,SE,Upland,Peltigera ponojensis,Peltigera_praetextata,"0.159079, 0.135513, 0.073580, 0.068333, 0.065682, 0.057859, 0.057643, 0.057082, 0.035427, 0.035394, 0.034860",P0420_peltigera_praetextata,100,98,OTU5,Peltigera_praetextata,JL31_extenuata_vnf,98.837,99,otu72,XXX,0,,,,,
P8783,245093,2010,943,943_2010,2052,SW,Log/Stump,Peltigera aphthosa,Peltigera_aphthosa_1,"0.933472, 0.007515, 0.006598, 0.006591",P734_peltigera_aphthosa,100,100,OTU47,Peltigera_aphthosa_5,P1110_P_fuscopraetextata_NorthAmerica,100,96,otu121,VI,0,,,,,
P8789,251120,2010,943,943_2010,2053,SW,Upland,Peltigera rufescens,Peltigera_lepidophora_2,"0.655728, 0.145774, 0.068034, 0.045417, 0.034947, 0.009600",P2176_peltigera_granulosa,93.578,96,OTU454,Peltigera_aff_rufescens,P1839_P_retifoveata_USA,99.648,96,otu377,,,,,,,
P8778,245098,2010,943,943_2010,2062,SW,Upland,Peltigera leucophlebia,Peltigera_leucophlebia_s_str,"0.907851, 0.014362, 0.014346, 0.014076",P6068_peltigera_leucophlebia,99.819,100,OTU162,Peltigera_leucophlebia_2,P1839_P_retifoveata_USA,99.648,96,otu377,XXXIIIa,0,,,,,
