alerts,duke_dna,Region_Abb,placeholder,placeholder,placeholder,Current ID even for specimens not in tree,placeholder,placeholder,clade,abmi_id,site,year,collector,region,site_year,ITS,envelope,quadrant,stratum,orig_id,tbas_id,peltigera_epa_likelihood,peltigera_top_blast_id,peltigera_blast_pi,peltigera_blast_query_cover,Source,placeholder,Specimen Current Location,Ownership/Original Location?,World Koppen Climate Index,Lat Long Exact or Notes,Lat_dd,Long_dd,placeholder,Altitude (mASL),Ayla Hab Picture Made,Alya Aspect from Images,Aspect from images,Habitat (from portal download Aug 2023),ABMI_SITE_COPY FOR PHOTO LOOKUP,ABMI_YEAR_COPY FOR PHOTO LOOKUP,DH finalized habitat,"DH finalized habitat with ABMI photos, habsum",moisture regime,"Aquatic influence (in valley/ravine/coulee, along creek, along water body)",Disturbance? Only note if collector noted or visible in Google Earth,Substrate raw with observations (from portal download Aug 2023),"Substrate condensed, updated with RC info from directly beneath thallus to away from thallus (soil includes litter; moss includes dwarf veg like Selaginella; use terr if generic ground given for substrate)",HABITAT TRENDS,Notes/Means,peltigera_final_molecular_id_original,peltigera_final_molecular_id_updated,nostoc_top_blast_id,nostoc_blast_pi,nostoc_blast_query_cover,its_otu,rbclx_otu,nostoc_final_id,batch_48,CP notes,DH NOTES
,P11092,CANADA_AB,,,,,,,,485480,546,2013,ABMI: Charlie Sikkema,Canada: Alberta,546_2013,Carlos,29928A,SW,Log/Stump,Peltigera cf. aphthosa blue-green phototype,0,0,0,0,0,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,56.933628,-119.881012,,747,,,,"Boreal Natural Region (Lower Boreal Highlands Subregion). Dominant current ecosite (150m radius): Black spruce bog, trees >=10m tall. % 25x15 m plot disturbed: none. ",546,2013,,treed bog,hydric,bog,none,"Dead wood. Collected from one or more of the following:  hard logs &/or stumps, soft logs &/or stumps",,,,,,0,0,0,0,0,,61,,
,P11093,CANADA_AB,,,,,,,,63052,546,2013,ABMI: Charlie Sikkema,Canada: Alberta,546_2013,Carlos,28779,SW,Tree/Other,Peltigera canina,0,0,0,0,0,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,56.933628,-119.881012,,747,,,,"Boreal Natural Region (Lower Boreal Highlands Subregion). Dominant current ecosite (150m radius): Black spruce bog, trees >=10m tall. % 25x15 m plot disturbed: none. ",546,2013,,treed bog,hydric,bog,none,"Trees & vertical structures. Collected from one or more of the following:  broadleaf trees, conifers, shrubs",,,,,,P2010_2011_2033_fibril_424_2007_2008_sp2_1598_austroam_1561_,99.878,96,0,otu37,,61,,
,P11094,CANADA_AB,,,,,,,,54940,546,2013,ABMI: Charlie Sikkema,Canada: Alberta,546_2013,Carlos,25097,NW,Upland,Peltigera malacea,Peltigera_malacea_2,0.991434,P1364_peltigera_malacea,100,100,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,56.933628,-119.881012,,747,,,,"Boreal Natural Region (Lower Boreal Highlands Subregion). Dominant current ecosite (150m radius): Black spruce bog, trees >=10m tall. % 25x15 m plot disturbed: 20% seismic. ",546,2013,,treed bog,hydric,bog,soft linear,"Upland soils. Collected from one or more of the following:  exposed humus, shaded humus",,,,Peltigera_malacea_2,Peltigera_malacea_2,P12567_Sticta_hypochroa_Chile_Mocho_1_C1_P1,95.829,92,OTU111,otu313,,61,,
,P11095,CANADA_AB,,,,,,,,57823,546,2013,ABMI: Charlie Sikkema,Canada: Alberta,546_2013,Carlos,26363,NW,Wetland,Peltigera neopolydactyla,0,0,0,0,0,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,56.933628,-119.881012,,747,,,,"Boreal Natural Region (Lower Boreal Highlands Subregion). Dominant current ecosite (150m radius): Black spruce bog, trees >=10m tall. % 25x15 m plot disturbed: 20% seismic. ",546,2013,,treed bog,hydric,bog,soft linear,Wetlands. Collected from one or more of the following:  peatland,,,,,,0,0,0,0,0,,61,,
,P11096,CANADA_AB,,,,,,,,60727,546,2013,ABMI: Charlie Sikkema,Canada: Alberta,546_2013,Carlos,25121,NW,Upland,Peltigera aphthosa,Peltigera_aphthosa_1,"0.933472, 0.007515, 0.006598, 0.006591",HOB020708x66x9x7_peltigera_aphthosa,100,100,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,56.933628,-119.881012,,747,,,,"Boreal Natural Region (Lower Boreal Highlands Subregion). Dominant current ecosite (150m radius): Black spruce bog, trees >=10m tall. % 25x15 m plot disturbed: 20% seismic. ",546,2013,,treed bog,hydric,bog,soft linear,"Upland soils. Collected from one or more of the following:  exposed humus, shaded humus",,,,Peltigera_aphthosa_5,Peltigera_aphthosa_5,JL23_aphthosa_no_vnf,100,99,OTU48,otu376,,61,,
,P11097,CANADA_AB,,,,,,,,431324,785,2014,ABMI: Ashley Hillman,Canada: Alberta,785_2014,Carlos,9651,SW,Tree/Other,Peltigera praetextata,Peltigera_evansiana,"0.879673, 0.028425, 0.026309, 0.026304",P1817_peltigera_evansiana,100,100,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,55.251911,-114.198654,,599,,,,"Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Hygric upland poplar forest on nutrient rich soils, trees <10m tall. % 25x15 m plot disturbed: 100% forestry. ",785,2014,,poplar,hygric,,forestry,"Trees & vertical structures. Collected from one or more of the following:  broadleaf trees, conifers, shrubs",,,,Peltigera_evansiana,Peltigera_evansiana,P2010_2011_2033_fibril_424_2007_2008_sp2_1598_austroam_1561_,99.878,96,OTU17,otu37,,61,,
,P11098,CANADA_AB,,,,,,,,434715,785,2014,ABMI: Ashley Hillman,Canada: Alberta,785_2014,Carlos,10635,NE,Upland,Peltigera didactyla,0,0,0,0,0,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,55.251911,-114.198654,,599,,,,"Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Hygric upland poplar forest on nutrient rich soils, trees <10m tall. % 25x15 m plot disturbed: 100% forestry. ",785,2014,,poplar,hygric,,forestry,Upland soils. Collected from one or more of the following:  exposed humus,,,,,,0,0,0,0,0,,61,,
,P11099,CANADA_AB,,,,,,,,434727,785,2014,ABMI: Ashley Hillman,Canada: Alberta,785_2014,Carlos,10640,SE,Upland,Peltigera canina,Peltigera_canina_1,"0.130421, 0.076740, 0.076423, 0.076164, 0.076109, 0.075304, 0.074499, 0.069247, 0.056443, 0.055008, 0.033862",HOB13_peltigera_canina_1,100,100,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,55.251911,-114.198654,,599,,,,"Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Hygric upland poplar forest on nutrient rich soils, trees <10m tall. % 25x15 m plot disturbed: 100% forestry. ",785,2014,,poplar,hygric,,forestry,Upland soils. Collected from one or more of the following:  shaded humus,,,,Peltigera_canina_1,Peltigera_canina_1,P2047_P_andensis_Boliva_2054_friesiorum_Peru,99.777,96,OTU103,otu19,,61,,
,P11100,CANADA_AB,,,,,,,,433535,785,2014,ABMI: Ashley Hillman,Canada: Alberta,785_2014,Carlos,10318,SE,Log/Stump,Peltigera praetextata,Peltigera_praetextata,"0.164698, 0.137461, 0.073146, 0.068120, 0.065370, 0.057324, 0.057107, 0.056543, 0.034969, 0.034941, 0.034680",P0420_peltigera_praetextata,99.814,100,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,55.251911,-114.198654,,599,,,,"Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Hygric upland poplar forest on nutrient rich soils, trees <10m tall. % 25x15 m plot disturbed: 100% forestry. ",785,2014,,poplar,hygric,,forestry,"Dead wood. Collected from one or more of the following:  hard logs &/or stumps, soft logs &/or stumps",,,,Peltigera_praetextata,Peltigera_praetextata,P2047_P_andensis_Boliva_2054_friesiorum_Peru,99.777,96,OTU104,otu19,,61,,
,P11101,CANADA_AB,,,,,,,,433550,785,2014,ABMI: Ashley Hillman,Canada: Alberta,785_2014,Carlos,10322A,SE,Log/Stump,Peltigera elisabethae,Peltigera_elisabethae,"0.820679, 0.146422",P1534_peltigera_sp14,83.818,89,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,55.251911,-114.198654,,599,,,,"Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Hygric upland poplar forest on nutrient rich soils, trees <10m tall. % 25x15 m plot disturbed: 100% forestry. ",785,2014,,poplar,hygric,,forestry,"Dead wood. Collected from one or more of the following:  hard logs &/or stumps, soft logs &/or stumps",,,,Peltigera_elisabethae,Peltigera_elisabethae,P2010_2011_2033_fibril_424_2007_2008_sp2_1598_austroam_1561_,99.878,96,OTU220,otu37,,61,,
,P11102,CANADA_AB,,,,,,,,640160,785,2014,ABMI: Ashley Hillman,Canada: Alberta,785_2014,Carlos,10068,NE,Log/Stump,Peltigera praetextata,Peltigera_praetextata,"0.159079, 0.135513, 0.073580, 0.068333, 0.065682, 0.057859, 0.057643, 0.057082, 0.035427, 0.035394, 0.034860",P0420_peltigera_praetextata,100,98,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,55.251911,-114.198654,,599,,,,"Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Hygric upland poplar forest on nutrient rich soils, trees <10m tall. % 25x15 m plot disturbed: 100% forestry. ",785,2014,,poplar,hygric,,forestry,"Dead wood. Collected from one or more of the following:  hard logs &/or stumps, soft logs &/or stumps",,,,Peltigera_praetextata,Peltigera_praetextata,P0420_P_praetextata_Serbia,99.878,96,OTU5,otu18,,61,,
,P11103,CANADA_AB,,,,,,,,432737,785,2014,ABMI: Ashley Hillman,Canada: Alberta,785_2014,Carlos,10068A,NE,Log/Stump,Peltigera neckeri,"Peltigera_neckeri,Peltigera_polydactyloides","0.329768, 0.328815, 0.328770",P1534_peltigera_sp14,85.075,90,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,55.251911,-114.198654,,599,,,,"Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Hygric upland poplar forest on nutrient rich soils, trees <10m tall. % 25x15 m plot disturbed: 100% forestry. ",785,2014,,poplar,hygric,,forestry,"Dead wood. Collected from one or more of the following:  hard logs &/or stumps, soft logs &/or stumps",,,,Peltigera_neckeri,Peltigera_neckeri,P12647_Leptogium_sp_Panama_Baru_1_C8_P1_NM62,98.343,96,OTU3,otu38,,61,,
,P11104,CANADA_AB,,,,,,,,640143,785,2014,ABMI: Ashley Hillman,Canada: Alberta,785_2014,Carlos,10322,SE,Log/Stump,Peltigera neckeri,"Peltigera_neckeri,Peltigera_polydactyloides","0.329768, 0.328815, 0.328770",P1534_peltigera_sp14,85.075,90,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,55.251911,-114.198654,,599,,,,"Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Hygric upland poplar forest on nutrient rich soils, trees <10m tall. % 25x15 m plot disturbed: 100% forestry. ",785,2014,,poplar,hygric,,forestry,"Dead wood. Collected from one or more of the following:  hard logs &/or stumps, soft logs &/or stumps",,,,Peltigera_neckeri,Peltigera_neckeri,P12604_Peltigera_sp_Chile_Malalca_2_C1_P1,99.183,99,OTU3,otu243,,61,,
,P11105,CANADA_AB,,,,,,,,430484,785,2014,ABMI: Ashley Hillman,Canada: Alberta,785_2014,Carlos,9408,SE,Tree/Other,Peltigera praetextata,Peltigera_praetextata,"0.159079, 0.135513, 0.073580, 0.068333, 0.065682, 0.057859, 0.057643, 0.057082, 0.035427, 0.035394, 0.034860",P0420_peltigera_praetextata,100,98,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,55.251911,-114.198654,,599,,,,"Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Hygric upland poplar forest on nutrient rich soils, trees <10m tall. % 25x15 m plot disturbed: 100% forestry. ",785,2014,,poplar,hygric,,forestry,"Trees & vertical structures. Collected from one or more of the following:  broadleaf trees, conifers, shrubs",,,,Peltigera_praetextata,Peltigera_praetextata,P1839_P_retifoveata_USA,99.648,96,OTU5,otu377,,61,,
,P11106,CANADA_AB,,,,,,,,433933,785,2014,ABMI: Ashley Hillman,Canada: Alberta,785_2014,Carlos,10413,SW,Log/Stump,Peltigera neckeri,0,0,0,0,0,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,55.251911,-114.198654,,599,,,,"Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Hygric upland poplar forest on nutrient rich soils, trees <10m tall. % 25x15 m plot disturbed: 100% forestry. ",785,2014,,poplar,hygric,,forestry,"Dead wood. Collected from one or more of the following:  hard logs &/or stumps, soft logs &/or stumps",,,,,,P1839_P_retifoveata_USA,99.648,96,0,otu377,,61,,
,P11107,CANADA_AB,,,,,,,,433605,785,2014,ABMI: Ashley Hillman,Canada: Alberta,785_2014,Carlos,10331,SE,Log/Stump,Peltigera elisabethae,Peltigera_elisabethae,"0.816600, 0.149752",P1534_peltigera_sp14,83.848,89,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,55.251911,-114.198654,,599,,,,"Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Hygric upland poplar forest on nutrient rich soils, trees <10m tall. % 25x15 m plot disturbed: 100% forestry. ",785,2014,,poplar,hygric,,forestry,"Dead wood. Collected from one or more of the following:  hard logs &/or stumps, soft logs &/or stumps",,,,Peltigera_elisabethae,Peltigera_elisabethae,P2010_2011_2033_fibril_424_2007_2008_sp2_1598_austroam_1561_,99.878,96,OTU151,otu37,,61,,
,P11108,CANADA_AB,,,,,,,,640155,785,2014,ABMI: Ashley Hillman,Canada: Alberta,785_2014,Carlos,10318A,SE,Log/Stump,Peltigera elisabethae,Peltigera_elisabethae,"0.819181, 0.146598",P1534_peltigera_sp14,84.153,89,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,55.251911,-114.198654,,599,,,,"Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Hygric upland poplar forest on nutrient rich soils, trees <10m tall. % 25x15 m plot disturbed: 100% forestry. ",785,2014,,poplar,hygric,,forestry,"Dead wood. Collected from one or more of the following:  hard logs &/or stumps, soft logs &/or stumps",,,,Peltigera_elisabethae,Peltigera_elisabethae,P2047_P_andensis_Boliva_2054_friesiorum_Peru,99.777,96,OTU221,otu19,,61,,
,P11109,CANADA_AB,,,,,,,,640157,785,2014,ABMI: Ashley Hillman,Canada: Alberta,785_2014,Carlos,10318B,SE,Log/Stump,Peltigera canina,Peltigera_canina_1,"0.130421, 0.076740, 0.076423, 0.076164, 0.076109, 0.075304, 0.074499, 0.069247, 0.056443, 0.055008, 0.033862",HOB13_peltigera_canina_1,100,100,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,55.251911,-114.198654,,599,,,,"Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Hygric upland poplar forest on nutrient rich soils, trees <10m tall. % 25x15 m plot disturbed: 100% forestry. ",785,2014,,poplar,hygric,,forestry,"Dead wood. Collected from one or more of the following:  hard logs &/or stumps, soft logs &/or stumps",,,,Peltigera_canina_1,Peltigera_canina_1,P2010_2011_2033_fibril_424_2007_2008_sp2_1598_austroam_1561_,99.878,96,OTU103,otu37,,61,,
,P11110,CANADA_AB,,,,,,,,640095,785,2014,ABMI: Ashley Hillman,Canada: Alberta,785_2014,Carlos,10417,SW,Log/Stump,Peltigera neckeri,"Peltigera_neckeri,Peltigera_polydactyloides","0.329768, 0.328815, 0.328770",P1534_peltigera_sp14,85.075,90,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,55.251911,-114.198654,,599,,,,"Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Hygric upland poplar forest on nutrient rich soils, trees <10m tall. % 25x15 m plot disturbed: 100% forestry. ",785,2014,,poplar,hygric,,forestry,"Dead wood. Collected from one or more of the following:  hard logs &/or stumps, soft logs &/or stumps",,,,Peltigera_neckeri,Peltigera_neckeri,P1839_P_retifoveata_USA,99.648,96,OTU3,otu377,,61,,
,P11111,CANADA_AB,,,,,,,,88405,580,2012,ABMI: Charmaine Holloway,Canada: Alberta,580_2012,Carlos,2211,NW,Upland,Peltigera aphthosa,Peltigera_aphthosa_1,"0.933472, 0.007515, 0.006598, 0.006591",P734_peltigera_aphthosa,100,100,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,56.700062,-118.932564,,972,,,,"Boreal Natural Region (Upper Boreal Highlands Subregion). Dominant current ecosite (150m radius): Mesic pine dominated forest on nutrient poor soils, trees >=10m tall. % 25x15 m plot disturbed: none. No photo",580,2012,,mature pine,mesic,,none,"Upland soils. Collected from one or more of the following:  exposed humus, shaded humus",,,,Peltigera_aphthosa_5,Peltigera_aphthosa_5,NOS,98.725,95,OTU47,otu332,,61,,
,P11112,CANADA_AB,,,,,,,,91316,580,2012,ABMI: Charmaine Holloway,Canada: Alberta,580_2012,Carlos,2209,NE,Upland,Peltigera aphthosa,Peltigera_aphthosa_1,"0.933472, 0.007515, 0.006598, 0.006591",P734_peltigera_aphthosa,100,100,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,56.700062,-118.932564,,972,,,,"Boreal Natural Region (Upper Boreal Highlands Subregion). Dominant current ecosite (150m radius): Mesic pine dominated forest on nutrient poor soils, trees >=10m tall. % 25x15 m plot disturbed: none. No photo",580,2012,,mature pine,mesic,,none,"Upland soils. Collected from one or more of the following:  exposed humus, shaded humus",,,,Peltigera_aphthosa_5,Peltigera_aphthosa_5,P1110_P_fuscopraetextata_NorthAmerica,99.878,96,OTU47,otu98,,61,,
,P11113,CANADA_AB,,,,,,,,92711,580,2012,ABMI: Charmaine Holloway,Canada: Alberta,580_2012,Carlos,196,NW,Log/Stump,Peltigera aphthosa,Peltigera_aphthosa_1,"0.933472, 0.007515, 0.006598, 0.006591",P734_peltigera_aphthosa,100,100,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,56.700062,-118.932564,,972,,,,"Boreal Natural Region (Upper Boreal Highlands Subregion). Dominant current ecosite (150m radius): Mesic pine dominated forest on nutrient poor soils, trees >=10m tall. % 25x15 m plot disturbed: none. No photo",580,2012,,mature pine,mesic,,none,"Dead wood. Collected from one or more of the following:  hard logs &/or stumps, soft logs &/or stumps",,,,Peltigera_aphthosa_5,Peltigera_aphthosa_5,P1839_P_retifoveata_USA,99.648,96,OTU47,otu377,,61,,
,P11114,CANADA_AB,,,,,,,,92710,580,2012,ABMI: Charmaine Holloway,Canada: Alberta,580_2012,Carlos,1467,NE,Log/Stump,Peltigera retifoveata,Peltigera_retifoveata,0.999191,P2100_peltigera_retifoveata,99.445,100,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,56.700062,-118.932564,,972,,,,"Boreal Natural Region (Upper Boreal Highlands Subregion). Dominant current ecosite (150m radius): Mesic pine dominated forest on nutrient poor soils, trees >=10m tall. % 25x15 m plot disturbed: none. No photo",580,2012,,mature pine,mesic,,none,"Dead wood. Collected from one or more of the following:  hard logs &/or stumps, soft logs &/or stumps",,,,Peltigera_retifoveata,Peltigera_retifoveata,JL23_aphthosa_no_vnf,100,99,OTU222,otu376,,61,,
,P11115,CANADA_AB,,,,,,,,88417,580,2012,ABMI: Charmaine Holloway,Canada: Alberta,580_2012,Carlos,3122,SW,Upland,Peltigera malacea,0,0,0,0,0,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,56.700062,-118.932564,,972,,,,"Boreal Natural Region (Upper Boreal Highlands Subregion). Dominant current ecosite (150m radius): Mesic pine dominated forest on nutrient poor soils, trees >=10m tall. % 25x15 m plot disturbed: none. No photo",580,2012,,mature pine,mesic,,none,"Upland soils. Collected from one or more of the following:  exposed humus, shaded humus",,,,,,0,0,0,0,0,,61,,
,P11116,CANADA_AB,,,,,,,,88416,580,2012,ABMI: Charmaine Holloway,Canada: Alberta,580_2012,Carlos,2205,SW,Upland,Peltigera aphthosa,0,0,0,0,0,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,56.700062,-118.932564,,972,,,,"Boreal Natural Region (Upper Boreal Highlands Subregion). Dominant current ecosite (150m radius): Mesic pine dominated forest on nutrient poor soils, trees >=10m tall. % 25x15 m plot disturbed: none. No photo",580,2012,,mature pine,mesic,,none,"Upland soils. Collected from one or more of the following:  exposed humus, shaded humus",,,,,,0,0,0,0,0,,61,,
,P11117,CANADA_AB,,,,,,,,84187,580,2012,ABMI: Charmaine Holloway,Canada: Alberta,580_2012,Carlos,2207,SE,Upland,Peltigera aphthosa,Peltigera_aphthosa_1,"0.929055, 0.007986, 0.007029, 0.007021",P734_peltigera_aphthosa,99.819,99,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,56.700062,-118.932564,,972,,,,"Boreal Natural Region (Upper Boreal Highlands Subregion). Dominant current ecosite (150m radius): Mesic pine dominated forest on nutrient poor soils, trees >=10m tall. % 25x15 m plot disturbed: none. No photo",580,2012,,mature pine,mesic,,none,"Upland soils. Collected from one or more of the following:  exposed humus, shaded humus",,,,Peltigera_aphthosa_5,Peltigera_aphthosa_5,P1110_P_fuscopraetextata_NorthAmerica,99.878,96,OTU223,otu98,,61,,
,P11118,CANADA_AB,,,,,,,,89864,580,2012,ABMI: Charmaine Holloway,Canada: Alberta,580_2012,Carlos,2207A,SE,Upland,Peltigera retifoveata,Peltigera_retifoveata,0.999191,P2100_peltigera_retifoveata,99.445,100,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,56.700062,-118.932564,,972,,,,"Boreal Natural Region (Upper Boreal Highlands Subregion). Dominant current ecosite (150m radius): Mesic pine dominated forest on nutrient poor soils, trees >=10m tall. % 25x15 m plot disturbed: none. No photo",580,2012,,mature pine,mesic,,none,"Upland soils. Collected from one or more of the following:  exposed humus, shaded humus",,,,Peltigera_retifoveata,Peltigera_retifoveata,JL31_extenuata_vnf,100,99,OTU222,otu367,,61,,
,P11119,CANADA_AB,,,,,,,,85540,457,2012,ABMI: Guillaume Gingras,Canada: Alberta,457_2012,Carlos,978,SE,Upland,Peltigera aphthosa,Peltigera_aphthosa_1,"0.933472, 0.007515, 0.006598, 0.006591",P734_peltigera_aphthosa,100,100,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,57.423565,-118.488312,,941,,,,"Boreal Natural Region (Lower Boreal Highlands Subregion). Dominant current ecosite (150m radius): Mesic pine forest on moderately nutrient-rich soils, trees >=10m tall. % 25x15 m plot disturbed: none. ",457,2012,,mature pine,mesic,,none,"Upland soils. Collected from one or more of the following:  disturbed mineral soil, shaded humus",,,,Peltigera_aphthosa_5,Peltigera_aphthosa_5,0,0,0,OTU47,0,,61,,
,P11120,CANADA_AB,,,,,,,,84062,457,2012,ABMI: Guillaume Gingras,Canada: Alberta,457_2012,Carlos,1121,SE,Upland,Peltigera aphthosa,Peltigera_aphthosa_1,"0.933472, 0.007515, 0.006598, 0.006591",P734_peltigera_aphthosa,100,100,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,57.423565,-118.488312,,941,,,,"Boreal Natural Region (Lower Boreal Highlands Subregion). Dominant current ecosite (150m radius): Mesic pine forest on moderately nutrient-rich soils, trees >=10m tall. % 25x15 m plot disturbed: none. ",457,2012,,mature pine,mesic,,none,"Upland soils. Collected from one or more of the following:  disturbed mineral soil, shaded humus",,,,Peltigera_aphthosa_5,Peltigera_aphthosa_5,P12567_Sticta_hypochroa_Chile_Mocho_1_C1_P1,97.608,94,OTU47,otu89,,61,,
,P11121,CANADA_AB,,,,,,,,84068,457,2012,ABMI: Guillaume Gingras,Canada: Alberta,457_2012,Carlos,980,SW,Upland,Peltigera aphthosa,Peltigera_aphthosa_1,"0.933472, 0.007515, 0.006598, 0.006591",P734_peltigera_aphthosa,100,100,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,57.423565,-118.488312,,941,,,,"Boreal Natural Region (Lower Boreal Highlands Subregion). Dominant current ecosite (150m radius): Mesic pine forest on moderately nutrient-rich soils, trees >=10m tall. % 25x15 m plot disturbed: none. ",457,2012,,mature pine,mesic,,none,Upland soils. Collected from one or more of the following:  shaded humus,,,,Peltigera_aphthosa_5,Peltigera_aphthosa_5,0,0,0,OTU47,0,,61,,
,P11122,CANADA_AB,,,,,,,,86912,457,2012,ABMI: Guillaume Gingras,Canada: Alberta,457_2012,Carlos,1122,SW,Log/Stump,Peltigera leucophlebia,0,0,0,0,0,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,57.423565,-118.488312,,941,,,,"Boreal Natural Region (Lower Boreal Highlands Subregion). Dominant current ecosite (150m radius): Mesic pine forest on moderately nutrient-rich soils, trees >=10m tall. % 25x15 m plot disturbed: none. ",457,2012,,mature pine,mesic,,none,"Dead wood. Collected from one or more of the following:  hard logs &/or stumps, soft logs &/or stumps",,,,,,0,0,0,0,0,,61,,
,P11123,CANADA_AB,,,,,,,,92578,457,2012,ABMI: Guillaume Gingras,Canada: Alberta,457_2012,Carlos,974,NE,Log/Stump,Peltigera leucophlebia,0,0,0,0,0,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,57.423565,-118.488312,,941,,,,"Boreal Natural Region (Lower Boreal Highlands Subregion). Dominant current ecosite (150m radius): Mesic pine forest on moderately nutrient-rich soils, trees >=10m tall. % 25x15 m plot disturbed: none. ",457,2012,,mature pine,mesic,,none,"Dead wood. Collected from one or more of the following:  hard logs &/or stumps, soft logs &/or stumps",,,,,,0,0,0,0,0,,61,,
,P11124,CANADA_AB,,,,,,,,88266,457,2012,ABMI: Guillaume Gingras,Canada: Alberta,457_2012,Carlos,974,NE,Log/Stump,Peltigera leucophlebia,0,0,0,0,0,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,57.423565,-118.488312,,941,,,,"Boreal Natural Region (Lower Boreal Highlands Subregion). Dominant current ecosite (150m radius): Mesic pine forest on moderately nutrient-rich soils, trees >=10m tall. % 25x15 m plot disturbed: none. ",457,2012,,mature pine,mesic,,none,"Dead wood. Collected from one or more of the following:  hard logs &/or stumps, soft logs &/or stumps",,,,,,0,0,0,0,0,,61,,
,P11125,CANADA_AB,,,,,,,,472554,787,2014,ABMI: Dinyar Minocher,Canada: Alberta,787_2014,Carlos,21204A,SW,Upland,Peltigera elisabethae,Peltigera_elisabethae,"0.819807, 0.144958",P1534_peltigera_sp14,83.848,89,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,55.188187,-113.51355,,656,,,,"Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Hygric upland poplar forest on nutrient rich soils, trees >=10m tall. % 25x15 m plot disturbed: none. ",787,2014,,poplar,hygric,,none,Upland soils. Collected from one or more of the following:  shaded humus,,,,Peltigera_elisabethae,Peltigera_elisabethae,P2010_2011_2033_fibril_424_2007_2008_sp2_1598_austroam_1561_,99.878,96,OTU224,otu37,,61,,
,P11126,CANADA_AB,,,,,,,,474782,787,2014,ABMI: Dinyar Minocher,Canada: Alberta,787_2014,Carlos,21787A,NE,Log/Stump,Peltigera elisabethae,Peltigera_elisabethae,"0.816600, 0.149752",P1534_peltigera_sp14,83.848,89,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,55.188187,-113.51355,,656,,,,"Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Hygric upland poplar forest on nutrient rich soils, trees >=10m tall. % 25x15 m plot disturbed: none. ",787,2014,,poplar,hygric,,none,"Dead wood. Collected from one or more of the following:  hard logs &/or stumps, soft logs &/or stumps",,,,Peltigera_elisabethae,Peltigera_elisabethae,P2001_P_canina_Canada,100,96,OTU151,otu20,,61,,
