Taxon,DNA Number,Voucher/Published source,ITS,LSU,RPB1,ß-tubulin,EFT 2.1,rbcLX,rbcLX phylogroup or haplotype
P. sp. 8,N1928,"China, Yunnan; B. Goffinet 10107; CONN",KX897377,KX869845,KX880283,KX880177,KX897527,KX923066,VIIIa
P. sp. 8,P1237,Taiwan; A. Mikulin T71; A. Mikulin Private Coll.,KX897378,KX869846,KX880284,KX880178,KX897528,KX923067,VIIIa
P. sp. 8,P1299,"China, Yunnan; J. Miadlikowska et al. s.n.; DUKE",KX897379,--,--,--,--,KX923068,VIIIa
P. sp. 8,N1748,South Korea; J. Santosh 080042; J. Santosh Private Coll.,KX897380,--,--,--,--,KX923069,XIV
P. sp. 8,N1752,South Korea; J. Santosh 090132; J. Santosh Private Coll.,KX897381,--,--,--,--,KX923070,XIV
P. sp. 8,N1766,South Korea; J. Santosh 040808; J. Santosh Private Coll.,KX897382,--,--,--,--,KX923071,XIV
P. sp. 9,N1907,"China, Yunnan; B. Goffinet 10100; CONN",KX897383,--,--,--,--,KX923072,VIIIa
P. sp. 9,N1908,"China, Yunnan; B. Goffinet 10040; CONN",KX897384,--,--,--,--,KX923073,VIIIa
P. sp. 9,N1918,"China, Yunnan; B. Goffinet 10101; CONN",KX897385,--,--,--,--,KX923074,VIIIa
P. sp. 9,N1921,"China, Yunnan; B. Goffinet 10064; CONN",KX897386,--,--,--,--,KX923075,VIIIa
P. sp. 9,N1923,"China, Yunnan; B. Goffinet 10073; CONN",KX897387,KX869847,KX880285,KX880179,KX897529,KX923076,VIIIa
P. sp. 9,N1936,"China, Yunnan; B. Goffinet 10108; CONN",KX897388,--,--,--,--,KX923077,VIIIa
P. sp. 9,P1508,"China, Yunnan; J. Miadlikowska et al. s.n.; DUKE",KX897389,--,--,--,--,KX923078,VIIIa
P. sp. 9,N1899,"China, Yunnan; B. Goffinet 10014; CONN",KX897390,KX869848,KX880286,--,KX897530,--,N/A
P. sp. 10,P1652,"Canada, Nova Scotia; NY",KX365450,KX365457,KX365462,--,--,KX923079,V
P. sp. 10,P450,"USA, Pennsylvania; J. Lendemer 16792; NY",KX365451,KX365458,KX365463,--,KX897531,KX923080,V
P. sp. 11,N1532,Papua New Guinea; E. Sérusiaux s.n.; LG,KX897391,KX869849,KX880287,KX880180,--,KX923081,IX
P. sp. 11,N1533,Papua New Guinea; E. Sérusiaux s.n.; LG,KX897392,KX869850,--,KX880181,--,KX923082,IX
P. sp. 11,N1537,Papua New Guinea; E. Sérusiaux s.n.; LG,KX897393,--,--,--,--,KX923083,IX
P. sp. 11,N1547,Papua New Guinea; E. Sérusiaux s.n.; LG,KX897394,--,--,--,--,KX923084,IX
P. sumatrana,P884,Papua New Guinea; E. Sérusiaux s.n.; LG,KX897395,--,--,KX880182,--,--,N/A
P. truculenta,P332,Chile; T. Wheeler 89; T. Wheeler Private Coll.,KX897396,KX869851,KX880288,KX880183,--,KX923085,HT36
P. truculenta,P329,Chile; P. Nelson 4362; T. Wheeler Private Coll.,KX897397,KX869852,KX880289,--,KX897532,KX923086,HT38
P. truculenta,P1251,Chile; J. Hollinger 1925; UBC,KX897398,KX869853,--,KX880184,KX897533,KX923087,VIIIb
P. truculenta,P335,Chile; T. Wheeler 1093; T. Wheeler Private Coll.,KX897399,KX869854,KX880290,KX880185,KX897534,KX923088,VIIIb
P. truculenta,P330,Chile; T. Wheeler 3826; T. Wheeler Private Coll.,KX897400,KX869855,KX880291,KX880186,KX897535,KX923089,XV
P. aphthosa,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455475902,HT08
P. aphthosa,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455475866,"HT18, IV"
P. aphthosa,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455476547,"HT23, IV"
P. aphthosa,GB,Switzerland; O'Brien et al. 2005,--,--,--,--,--,82471081,V
P. aphthosa,P1330,"Canada, Nunavik; L. Couillard 191; QFA-0594935",--,--,--,--,--,KX923090,XVIII
P. aphthosa,P1321,Norway; N. Magain s.n.; LG,--,--,666667227,666667049,--,--,N/A
P. aphthosa,P788,Norway; N. Magain s.n.; LG,--,14422959,666667213,666666983,666667091,--,N/A
P. aphthosa,GB,Switzerland; O'Brien et al. 2005,--,--,--,--,--,82471084,N/A
P. aphthosa*,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455475860,"HT19, IV"
P. britannica,P1324,"Canada, British Columbia; J. Lendemer 22342; NY",--,--,--,--,--,KX923091,"HT48, IV"
P. britannica,P227,"Canada, British Columbia; T. Goward 09-436; UBC",--,--,666667201,666666965,--,KX923092,"HT48, IV"
P. britannica,P228,"Canada, British Columbia; T. Goward 09-120; UBC",--,666666860,666667203,666666967,666667079,KX923093,"HT48, IV"
P. britannica,P16,Iceland; H. G. Kristinsson LA30299; AMNH-30229,--,--,--,--,--,KX923094,XVI
P. britannica,P1342,"Canada, Nunavik; J. Gagnon GPS 099; QFA-595029",--,--,--,--,--,KX923095,XVIII
P. britannica*,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455475935,HT10
P. canina,P4,Iceland; J. Miadlikowska & F. Lutzoni 08.08.10-3; DUKE,--,666666861,666667179,666666973,666667053,KX923096,HT49
P. canina,P14,Iceland; J. Miadlikowska & F. Lutzoni 08.09.10-3; DUKE,--,666666862,666667181,666666937,666667055,KX923097,N/A
P. canina,GB,"Canada, British Columbia; O'Brien et al. 2009",--,--,--,255347899,--,--,N/A
P. canina,GB,Germany; O'Brien et al. 2005,--,--,--,--,--,82470985,N/A
P. canina,GB,Poland; O'Brien et al. 2005,--,--,--,--,--,82471036,N/A
P. canina,GB,Unknown; O'Brien et al. 2005,--,--,--,--,--,82470931,N/A
P. canina,GB,USA; O'Brien et al. 2005,--,--,--,--,--,82470994,N/A
P. canina,GB,USA; O'Brien et al. 2005,--,--,--,--,--,82471009,N/A
P. canina*,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455476004,HT06
P. cinnamomea,P1808,Canada; T. Goward SN 27/09/3003; UBC,--,--,KX880292,KX880187,KX897536,--,N/A
P. collina,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455475737,HT13
P. collina,P1263,Chile; J. Hollinger 1929; UBC,--,666666863,666667221,666666919,666667099,--,N/A
P. continentalis,P1809,China; T. Koponen 45091; H,--,--,KX880293,KX880188,KX897537,--,N/A
P. continentalis,P1810,Russia; J. Miadlikowska et al. s.n.; DUKE,--,666666864,666667245,666666945,666667113,--,N/A
P. degenii,P1849,China; M. Sohrabi 16583; H,--,KX869856,KX880294,--,--,--,N/A
P. degenii,P523,Norway; N. Magain s.n.; LG,--,KM005744, KM005939,--,    KM005878,--,N/A
P. degenii,GB,Canada; O'Brien et al. 2005,--,--,--,--,--,82471057,N/A
P. degenii,GB,Finland; Stenroos et al. 2006,--,--,--,--,--,82779967,N/A
P. didactyla,P1812,Belgium; N. Magain s.n.; LG,--,--,KX880295,--,KX897538,--,N/A
P. didactyla,P1813,Norway; N. Magain s.n.; LG,--,KX869857,KX880296,--,KX897539,--,N/A
P. didactyla,GB,Unknown; O'Brien et al. 2005,--,--,--,--,--,82470940,N/A
P. didactyla,GB,"Iceland, O'Brien et al. 2005",--,--,--,--,--,82470937,N/A
P. didactyla,GB,Poland; O'Brien et al. 2005,--,--,--,--,--,82471060,N/A
P. didactyla,GB,Germany; O'Brien et al. 2005,--,--,--,--,--,82470979,N/A
P. elisabethae,P66,"USA, New Mexico; J. Hollinger 2397; DUKE",--,666666867,666667189,--,666667065,KX923098,V
P. elisabethae,P1544,"Russia, Siberia; J. Miadlikowska et al. s.n.; DUKE",--,666666868,666667237,666666935,666667105,--,N/A
P. evansiana,P1817,"USA, Pennsylvania; J. Lendemer 17422; NY-1105603",--,666666869,666667247,666666947,666667115,--,N/A
P. evansiana,P1818,"USA, Pennsylvania; J. Lendemer 17422; NY-1103610",--,666666858,666667249,666666949,666667117,--,N/A
P. extenuata,P1851,Norway; N. Magain s.n.; LG,--,KX869858,KX880297,--,--,--,N/A
P. extenuata,P81,"Russia, Kamchatka; D. E. Himelbrandt; H",--,XXXX,--,--,KX897540,--,HT54
P. frigida,P82,Chile; C. Rubis 4064; H,--,XXXX,--,--,KX897541,--,N/A
P. fripii,P1370,"Russia, Siberia; M. P. Andreev 91762; H",--,14422955,666667235,666666931,666667103,--,N/A
P. fuscopraetextata*,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455476040,HT03
P. granulosa,P1825,Papua New Guinea; E. Sérusiaux s.n.; LG,--,--,--,KX880189,KX897542,--,N/A
P. horizontalis,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455476142,"HT11, V"
P. horizontalis,P65,"USA, North Carolina; J. Hollinger 2691; DUKE",--,--,--,--,--,KX923099,V
P. horizontalis,GB,USA; O'Brien et al. 2005,--,--,--,--,--,82471003,V
P. horizontalis,P1274,"China, Jilin; M. Sohrabi 16639; M. Sohrabi Private Coll.",--,666666870,666667223,666666921,666667101,--,N/A
P. horizontalis,P1641,"USA, North Carolina; J. Lendemer 8136; NY",--,666666871,666667243,666666943,666667111,--,N/A
P. hydrothyria,P1497,"Canada, Nova Scotia; F. Anderson 151675; NSPM",--,--,666667297,666666933,666667165,--,N/A
P. hydrothyria,P1498,"Canada, Nova Scotia; F. Anderson 151055; NSPM",--,666666874,666667299,666667047,666667167,--,N/A
P. hydrothyria,P1845,"Canada, Nova Scotia; F. Anderson 159031; NSPM",--,666666873,666667301,666666953,666667169,--,N/A
P. koponenii,P1827,Papua New Guinea; E. Sérusiaux s.n.; LG,--,--,--,KX880190,--,--,N/A
P. kristinssonii,P1292,"Canada, Québec; J. Gagnon 594989; QFA-0594989",--,666666875,666667225,666666923,--,--,N/A
P. laciniata,P26,Costa Rica; J. Miadlikowska et al. s.n.; DUKE,--,666666877,666667183,666666961,666667057,--,N/A
P. laciniata,P924,Colombia; R. Lücking 33692; UDBC,--,666666876,--,666666985,666667059,--,N/A
P. latiloba,P1175,"Russia, Sakha Republic; T. Ahti 64755; H",--,--,666667217,666666915,666667095,--,N/A
P. latiloba,P210,"Canada, British Columbia; P. Nelson 11-034; UBC",--,--,666667199,666666963,666667077,--,N/A
P. lepidophora,P1844,"Canada, British Columbia; T. Goward s.n.; UBC",--,666666859,666667251,666666951,666667119,--,N/A
P. lepidophora,GB,Canada; O'Brien et al. 2005,--,--,--,--,--,82471063,N/A
P. leucophlebia,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455476310,HT20
P. leucophlebia,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455476385,HT30
P. leucophlebia,P17,Iceland; S. Heidmarsson 1983; AMNH-29884,--,--,--,--,--,KX923100,HT55
P. leucophlebia,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690850,V
P. leucophlebia,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690853,V
P. leucophlebia,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690862,V
P. leucophlebia,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690865,V
P. leucophlebia,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690859,V
P. leucophlebia,P1343,"Canada, Nunavik; J. Gagnon GPS 100; QFA-594931",--,--,--,--,--,KX923101,XVIII
P. leucophlebia,P1329,"Canada, Nunavik; J. Gagnon; QFA-594936",--,--,666667229,666666925,--,--,N/A
P. leucophlebia,P1333,"Canada, Nunavik; J. Gagnon; QFA-594851",--,--,666667231,666666927,--,--,N/A
P. leucophlebia,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690856,N/A
P. leucophlebia,GB,"Canada, Québec; O'Brien et al. 2013",--,--,--,--,--,455476640,N/A
P. leucophlebia*,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455476274,HT02
P. leucophlebia*,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455476544,"HT21, IV"
P. leucophlebia*,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455476358,HT04
P. malacea,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455475965,"HT07, III"
P. malacea,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455475977,"HT09, III"
P. malacea,GB,Unknown,--,--,--,--,--,455476625,III
P. malacea,GB,Unknown,--,--,--,--,--,455476613,III
P. malacea,GB,Unknown,--,--,--,--,--,455476658,III
P. malacea,GB,Unknown,--,--,--,--,--,455476616,III
P. malacea,GB,Unknown,--,--,--,--,--,455476619,III
P. malacea,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690868,III
P. malacea,GB,"Canada, Québec; O'Brien et al. 2013",--,--,--,--,--,455476610,III
P. malacea,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455476556,HT25
,,,,,,,,,
P. malacea,GB,"Canada, Québec; O'Brien et al. 2013",--,--,--,--,--,455476622,III
P. malacea,GB,Unknown,--,--,--,--,--,455476655,IV
P. malacea,P1028,Norway; N. Magain s.n.; LG,--,666666878,666667215,666666911,666667093,--,N/A
P. malacea,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455475980,HT22
P. malacea,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455476595,HT28
P. malacea,P1363,"Russia, Karelia; P. Uotila 44104; H",--,--,666667233,666666929,--,--,N/A
P. membranacea,GB,Canada; O'Brien et al. 2005,--,--,--,--,--,82470928,V
P. membranacea,GB,USA; O'Brien et al. 2005,--,--,--,--,--,82471000,V
P. membranacea,GB,Russia; O'Brien et al. 2005,--,--,--,--,--,82471066,V
P. membranacea,GB,Canada; O'Brien et al. 2005,--,--,--,--,--,82471069,XIII
P. membranacea,P3,Iceland; J. Miadlikowska & F. Lutzoni 08.08.10-2; DUKE,--,666666879,666667177,666666959,666667051,KX923102,XVI
P. membranacea,P86,Madeira; H. Vare L1807; H,--,--,KX880298,--,KX897543,--,N/A
P. membranacea,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690874,N/A
P. membranacea,GB,USA; O'Brien et al. 2005,--,--,--,--,--,82470997,N/A
P. membranacea,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690871,N/A
P. membranacea,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455476529,HT15
P. membranacea*,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455476412,"HT14, XIII"
P. monticola,P73,Austria; R. Türk 37593; H,--,666666880,--,666666979,666667069,KX923103,HT51
P. monticola,P75,Norway; T. Ahti 65831; H,--,666666881,666667195,666666981,666667073,KX923104,HT59
P. neckeri,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455476136,HT16
P. neckeri,P15,Iceland; J. Miadlikowska 08.09.10-2; DUKE,--,--,--,--,--,KX923105,HT52
P. neckeri,P1620,"USA, Arkansas; R. C. Harris 45472; NY",--,666666882,666667241,666666941,666667109,--,N/A
P. neocanina,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455476607,HT29
P. neocanina,P68,"USA, New Mexico; J. Hollinger 2401; DUKE",--,--,--,--,--,KX923106,HT53
P. neocanina,P70,"USA, New Mexico; J. Hollinger 2460; DUKE",--,--,--,--,--,KX923107,V
P. neocanina*,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455476130,"HT01, V"
P. papuanorum,P1831,Papua New Guinea; E. Sérusiaux s.n.; LG,--,--,KX880299,--,--,--,N/A
P. patagonica,P76,Chile; C. Rubio 7077; H,--,--,--,--,--,KX923108,HT50
P. phyllidiosa,P72,"USA, North Carolina; J. Hollinger 2708; DUKE",--,--,--,--,--,KX923109,HT62
P. phyllidiosa,P1245,Unknown; J. Hollinger 1097; UBC,--,666666884,666667219,666666917,666667097,--,N/A
P. phyllidiosa,P1617,"USA, Tennessee; W. R. Buck 56402; NY",--,666666885,666667239,666666939,666667107,--,N/A
P. polydactyloides,P1756,Rwanda; E. Sérusiaux s.n.; LG,--,KX869859,KX880300,KX880191,--,--,N/A
P. ponojensis,P77,Chile; B. Goffinet 6837; CONN,--,--,--,--,--,KX923110,HT57
P. ponojensis,P84,"USA, Pennsylvania; J. Lendemer 13556; H",--,--,--,--,--,KX923111,HT63
P. praetextata,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455476526,HT17
P. praetextata,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690886,V
P. praetextata,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690889,V
P. praetextata,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690892,V
P. praetextata,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690895,V
P. praetextata,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690898,V
P. praetextata,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690901,V
P. praetextata,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690883,V
P. praetextata,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690904,V
P. praetextata,P1862,"France, Reunion Island; K. Kalb s.n.; DUKE",--,--,666667253,666666957,666667123,--,N/A
P. praetextata,P570,Norway; N. Magain s.n.; LG,--,666666887,666667211,666666989,666667089,--,N/A
P. retifoveata,P1839,Alaska; J. Miadlikowska et al. s.n.; DUKE,--,--,KX880301,--,KX897544,--,N/A
P. retifoveata,P74,"Russia, Sakha Republic; T. Ahti 61821; H",--,666666888,666667193,--,666667071,--,N/A
P. rufescens,P5,Iceland; J. Miadlikowska & F. Lutzoni 08.08.10-4; DUKE,--,--,--,KX880143,--,--,N/A
P. rufescens,GB,Germany; O'Brien et al. 2005,--,--,--,--,--,82470982,N/A
P. rufescens,GB,Germany; O'Brien et al. 2005,--,--,--,--,--,82470964,N/A
P. rufescens,GB,Unknown; O'Brien et al. 2005,--,--,--,--,--,82470961,N/A
P. rufescens,GB,Germany; O'Brien et al. 2005,--,--,--,--,--,82470976,N/A
P. rufescens,GB,Germany; O'Brien et al. 2005,--,--,--,--,--,82470970,N/A
P. rufescens,GB,England; O'Brien et al. 2005,--,--,--,--,--,82470934,N/A
P. rufescens,GB,Poland; O'Brien et al. 2005,--,--,--,--,--,82471072,N/A
P. rufescens,GB,Germany; O'Brien et al. 2005,--,--,--,--,--,82470973,N/A
P. rufescens ,P6,Iceland; J. Miadlikowska & F. Lutzoni 08.08.10-5; DUKE,--,666666889,--,666666977,--,KX923112,HT58
P. sp.,P1319,"Canada, Québec; J. Miadlikowska & F. Lutzoni s.n.; DUKE",--,--,--,--,--,KX923113,HT60
P. sp.,P1335,"Canada, Nunavik; J. Gagnon GPS 106; QFA 595025",--,--,--,--,--,KX923114,XVIII
P. sp.,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690907,N/A
P. ulcerata,P43,Costa Rica; J. Miadlikowska et al. s.n.; DUKE,--,--,--,--,--,KX923115,HT61
P. ulcerata,P48,Costa Rica; J. Miadlikowska et al. s.n.; DUKE,--,666666891,666667185,--,666667061,--,N/A
P. ulcerata,P51,Costa Rica; J. Miadlikowska et al. s.n.; DUKE,--,666666892,666667187,--,666667063,--,N/A
P. venosa,P1905,Norway; N. Magain s.n.; LG,--,666666893,666667255,--,666667125,--,N/A
P. venosa,P69,"USA, New Mexico; J. Hollinger 2475; DUKE",--,666666894,666667191,--,666667067,--,N/A
Arctomia fasciculare 1,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278413,N/A
A. fasciculare 2,GB,Spain; Otálora et al. 2010,N/A,N/A,N/A,N/A,N/A,205278416,N/A
Anabaena augstumalis,GB,Germany; Rajaniemi et al. 2005,N/A,N/A,N/A,N/A,N/A,55650808,N/A
A. cf. cylindrica,GB,Unknown; Gugger et al. 2002,N/A,N/A,N/A,N/A,N/A,15282236,N/A
Anthoceros sp.,GB,Italy; O'Brien et al. 2005,N/A,N/A,N/A,N/A,N/A,82470946,N/A
Anthoceros sp.,GB,Germany; O'Brien et al. 2005,N/A,N/A,N/A,N/A,N/A,82470958,N/A
Blasia pusilla,GB,Germany; O'Brien et al. 2005,N/A,N/A,N/A,N/A,N/A,82470952,N/A
B. pusilla,GB,Germany; O'Brien et al. 2005,N/A,N/A,N/A,N/A,N/A,82470955,N/A
B. pusilla,GB,Germany; O'Brien et al. 2005,N/A,N/A,N/A,N/A,N/A,82471090,N/A
Blennothallia crispus 1,GB,Spain; Otálora et al. 2010,N/A,N/A,N/A,N/A,N/A,205278404,N/A
B. crispus 2,GB,Germany; O'Brien et al. 2005,N/A,N/A,N/A,N/A,N/A,82470967,N/A
Collema flaccidum 1,GB,Finland; Stenroos et al. 2006,--,--,--,--,--,82779973,N/A
C. flaccidum 2,GB,Finland; Stenroos et al. 2006,--,--,--,--,--,82779972,N/A
C. flaccidum 3,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278419,N/A
C. flaccidum 4,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278422,N/A
C. flaccidum 5,GB,USA; Otálora et al. 2010,--,--,--,--,--,241913794,N/A
C. furfuraceum 1,GB,USA; Otálora et al. 2010,--,--,--,--,--,205278440,N/A
C. furfuraceum 2,GB,Portugal; Otálora et al. 2010,--,--,--,--,--,205278437,N/A
C. furfuraceum 3,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278431,N/A
C. furfuraceum 4,GB,Croatia; Otálora et al. 2010,--,--,--,--,--,205278434,N/A
C. nigrescens 1,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278449,N/A
C. nigrescens 2,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278443,N/A
C. nigrescens 3,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278446,N/A
C. subnigrescens 1,GB,Croatia; Otálora et al. 2010,--,--,--,--,--,205278461,N/A
C. subnigrescens 2,GB,Portugal; Otálora et al. 2010,--,--,--,--,--,205278458,N/A
C. subnigrescens 3,GB,Portugal; Otálora et al. 2010,--,--,--,--,--,205278464,N/A
Cycas circinalis,GB,Brazil; O'Brien et al. 2005,N/A,N/A,N/A,N/A,N/A,82471075,N/A
Degelia plumbea,GB,Madeira; Myllys et al. 2007,--,--,--,--,--,119690755,N/A
Encephalartos natalensis,GB,Italy; O'Brien et al. 2005,--,--,--,--,--,82470949,N/A
Enchylium polycarpon 1,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278455,N/A
E. polycarpon 2,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278452,N/A
E. tenax 1,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278473,N/A
E. tenax 2,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278470,N/A
E. tenax 3,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278467,N/A
Fischerella muscicola,GB,New Zealand; O'Brien et al. 2005,N/A,N/A,N/A,N/A,N/A,82471045,N/A
Geosiphon pyriforme,GB,Germany; O'Brien et al. 2005,N/A,N/A,N/A,N/A,N/A,82471096,N/A
G. pyriforme,GB,Germany; O'Brien et al. 2005,N/A,N/A,N/A,N/A,N/A,82470943,N/A
Gunnera manicata,GB,Germany; O'Brien et al. 2005,N/A,N/A,N/A,N/A,N/A,82471093,N/A
Lathagrium auriforme 1,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278410,N/A
L. auriforme 2,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278407,N/A
L. undulatum 1,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278428,N/A
L. undulatum 2,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278425,N/A
Leptogium austroamericanum 1,GB,Argentina; Otálora et al. 2010,--,--,--,--,--,205278479,N/A
L. austroamericanum 2,GB,Colombia; Otálora et al. 2010,--,--,--,--,--,205278476,N/A
L. azureum 1,GB,Argentina; Otálora et al. 2010,--,--,--,--,--,205278488,N/A
L. azureum 2,GB,Chile; Otálora et al. 2010,--,--,--,--,--,205278485,N/A
L. azureum 3,GB,Brazil; Otálora et al. 2010,--,--,--,--,--,205278482,N/A
L. brebissonii 1,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278494,N/A
L. brebissonii 2,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278491,N/A
L. corniculatum 1,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278497,N/A
L. corniculatum 2,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278500,N/A
L. corticola 1,GB,Costa Rica; Otálora et al. 2010,--,--,--,--,--,205278503,N/A
L. corticola 2,GB,USA; Otálora et al. 2010,--,--,--,--,--,205278506,N/A
L. cyanescens 1,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278515,N/A
L. cyanescens 2,GB,USA; Otálora et al. 2010,--,--,--,--,--,205278512,N/A
L. cyanescens 3,GB,Panama; Otálora et al. 2010,--,--,--,--,--,205278509,N/A
L. furfuraceum 1,GB,Croatia; Otálora et al. 2010,--,--,--,--,--,205278530,N/A
L. furfuraceum 2,GB,Portugal; Otálora et al. 2010,--,--,--,--,--,205278533,N/A
L. furfuraceum 3,GB,Portugal; Otálora et al. 2010,--,--,--,--,--,205278536,N/A
L. furfuraceum 4,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278518,N/A
L. furfuraceum 5,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278521,N/A
L. furfuraceum 6,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278524,N/A
L. furfuraceum 7,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278527,N/A
L. pseudofurfuraceum 1,GB,Argentina; Otálora et al. 2010,--,--,--,--,--,205278587,N/A
L. pseudofurfuraceum 2,GB,USA; Otálora et al. 2010,--,--,--,--,--,205278578,N/A
L. pseudofurfuraceum 3,GB,USA; Otálora et al. 2010,--,--,--,--,--,205278584,N/A
L. pseudofurfuraceum 4,GB,USA; Otálora et al. 2010,--,--,--,--,--,205278581,N/A
L. pseudofurfuraceum 5,GB,Argentina; Otálora et al. 2010,--,--,--,--,--,205278590,N/A
L. saturninum 1,GB,Finland; Stenroos et al. 2006,--,--,--,--,--,82779971,N/A
L. saturninum 2,GB,Finland; Stenroos et al. 2006,--,--,--,--,--,82779970,N/A
L. saturninum 3,GB,France; Otálora et al. 2010,--,--,--,--,--,205278602,N/A
L. saturninum 4,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278605,N/A
L. saturninum 5,GB,USA; Otálora et  al. 2010,--,--,--,--,--,205278608,N/A
L. saturninum 6,GB,Canada; Otálora et al. 2010,--,--,--,--,--,205278599,N/A
Lobaria amplissima,GB,Norway; Stenroos et al. 2006,--,--,--,--,--,82779934,N/A
L. amplissima,GB,Norway; Stenroos et al. 2006,--,--,--,--,--,82779933,N/A
L. amplissima,GB,Austria; O'Brien et al. 2005,--,--,--,--,--,82471018,N/A
L. hallii,GB,USA; O'Brien et al. 2005,--,--,--,--,--,82471021,N/A
L. kukorawa,GB,China; O'Brien et al. 2013,--,--,--,--,--,455476652,N/A
L. kukorawa,GB,China; O'Brien et al. 2013,--,--,--,--,--,455476646,N/A
L. pulmonaria,OG6,"USA, North Carolina, N. Magain s.n., DUKE",--,KX869860,KX880302,--,--,--,N/A
L. pulmonaria,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690773,N/A
L. pulmonaria,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690770,N/A
L. pulmonaria,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690767,N/A
L. pulmonaria,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690776,N/A
L. pulmonaria,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690779,N/A
